State,StateID,TotalPop,White,Black,Native,Asian,Islander,OtherRace,TwoRaces,HispanicLatino,LessHS,HS,SomeColl,Bachelors,Masters,Professional,Doctorate,MedianIncome,PovertyLevel,PoveryMale,PovetyFemale,AbovePoverty,AbovePovertyMale,AbovePovertyFemale
Alabama,1,4864680,68.19,26.58,0.53,1.33,0.04,1.44,1.88,4.18,14.24,30.91,29.91,15.62,6.72,1.53,1.06,48486,17.49,7.54,9.95,82.51,40.65,41.86
Alaska,2,738516,64.84,3.27,14.44,6.3,1.2,1.49,8.46,6.93,7.28,28.02,35.47,18.43,7.7,1.99,1.11,76715,10.8,5.24,5.56,89.2,46.49,42.7
Arizona,4,6946685,77.22,4.39,4.46,3.29,0.2,6.79,3.64,31.14,13.23,24.01,33.89,18.02,7.83,1.79,1.24,56213,16.09,7.45,8.63,83.91,41.79,42.12
Arkansas,5,2990671,77,15.41,0.67,1.47,0.27,2.64,2.54,7.32,13.81,34.07,29.53,14.44,5.77,1.38,1,45726,17.58,7.78,9.8,82.42,41.02,41.4
California,6,39148760,60.1,5.79,0.76,14.32,0.39,13.83,4.81,38.88,17.07,20.56,29.11,20.77,8.48,2.39,1.61,71228,14.29,6.52,7.77,85.71,42.91,42.8
Colorado,8,5531141,84.17,4.12,0.99,3.12,0.15,3.88,3.57,21.42,8.61,21.43,29.81,25.2,10.93,2.33,1.68,68811,10.92,4.98,5.94,89.08,44.99,44.09
Connecticut,9,3581504,76.36,10.56,0.27,4.43,0.03,5.17,3.17,15.69,9.51,27.05,24.49,21.74,12.5,3,1.7,76106,10.03,4.39,5.64,89.97,44.27,45.7
Delaware,10,949495,68.97,22.11,0.36,3.87,0.05,1.9,2.74,9.09,10.22,31.6,26.77,18.3,9.44,1.88,1.78,65627,11.89,5.15,6.73,88.11,43.05,45.07
District of Columbia,11,684498,40.97,46.94,0.29,3.9,0.05,4.9,2.94,10.92,9.41,17.16,15.86,24.4,20.65,8.26,4.26,82604,16.82,7.11,9.71,83.18,40.25,42.93
Florida,12,20598139,75.39,16.1,0.28,2.71,0.06,2.82,2.63,25.17,12.05,28.81,29.97,18.53,7.37,2.11,1.16,53267,14.79,6.64,8.14,85.21,41.94,43.28
Georgia,13,10297484,59.04,31.46,0.33,3.91,0.06,2.75,2.45,9.4,13.32,27.85,28.18,18.9,8.32,2.1,1.32,55679,16.04,7,9.03,83.96,41.25,42.72
Hawaii,15,1422029,25.01,1.85,0.21,37.75,10.08,1.08,24.03,10.4,8.16,27.69,31.67,21.45,7.3,2.29,1.43,78084,9.94,4.56,5.38,90.06,45.2,44.86
Idaho,16,1687809,90.49,0.68,1.35,1.41,0.16,3.15,2.76,12.39,9.43,27.71,35.94,18.24,6.03,1.45,1.21,53089,13.82,6.37,7.45,86.18,43.5,42.68
Illinois,17,12821497,71.67,14.23,0.25,5.39,0.04,5.95,2.48,16.96,11.11,26.12,28.71,20.75,9.76,2.24,1.31,63575,13.06,5.74,7.32,86.94,43.15,43.79
Indiana,18,6637426,83.59,9.33,0.22,2.18,0.04,2.18,2.45,6.78,11.42,33.55,29.12,16.53,6.92,1.43,1.03,54325,14.11,6.21,7.9,85.89,42.86,43.03
Iowa,19,3132499,90.28,3.51,0.37,2.4,0.1,1.25,2.1,5.85,8.01,31.14,32.65,19.02,6.38,1.63,1.18,58580,11.67,5.18,6.49,88.33,44.36,43.97
Kansas,20,2908776,84.59,5.84,0.83,2.87,0.07,2.32,3.47,11.71,9.27,26.01,31.83,20.82,8.91,1.9,1.26,57422,12.4,5.62,6.78,87.6,43.93,43.67
Kentucky,21,4440204,87.08,7.98,0.22,1.41,0.06,0.99,2.25,3.58,14.3,33.02,29.06,13.85,7.03,1.77,0.98,48392,17.95,7.98,9.96,82.05,41,41.05
